ast,gp,pts,ts_pct,ast_pct,usg_pct,net_rating,reb,height,weight,predicted_positions
-0.33994167252084606,0.46880273137538264,-0.7167515788997469,-0.21556496854545934,0.01964290884610384,-1.0136411699944188,0.5254863091726746,-0.9101909716923853,-0.48838286026174416,-1.1054899074612363,small forward
-0.5772482501968292,1.0451995322467547,0.12229036303732861,0.2646452807941356,-0.9373193169897605,-0.28905723433336034,-0.15884346986511852,1.0820725285785013,0.5604930812399941,1.152916440774179,point guard
-0.482325619126436,1.1220524390296043,-0.12942221954379413,0.2646452807941356,-0.9373193169897605,-1.4276891332293107,-0.3904627796932946,2.996208048446608,1.0849310519908617,0.7012351711270955,point guard
-0.3874029880560427,0.35352337120110827,-0.7335324177384885,-1.5855765622496014,-0.05087009726811676,-0.3511644288185919,0.8308026721279976,-0.6367430402826557,-0.22616387488631032,-1.2560503306769308,small forward
0.37197806050710364,1.160478892421029,1.1962640487167857,0.08103547957605614,0.12037577472356428,0.7874674700773605,-0.45363168237370627,0.4179846951548724,0.03605511048912351,-0.20212736816707036,point guard
0.9889751624646599,0.968346625463905,0.6424963670383155,1.9453811534827232,0.37220793941721303,-0.9101291791856958,0.8202745216812624,-0.1679751578659766,-0.48838286026174416,-0.3526877913827639,forward
-0.8145548278728125,-0.6839908703673613,-0.9516833226421283,0.29289294251999576,-0.9876857499284902,-1.1792603552883758,-0.09567456718470684,-0.6758070304840458,1.3471500373662986,0.7012351711270955,center
-0.7670935123376158,0.8530672652896306,-0.649628223544781,-0.6251560635704093,-0.9574658901652523,-0.3511644288185919,-0.6747228417551471,-0.05078318726180687,1.0849310519908617,1.0023560175584845,point guard
-0.5297869346616326,0.8146408118982058,-0.07907970302756945,-0.06020282905323694,-0.5847542864186522,0.5390386921364252,0.08330399040979292,-0.12891116766458663,0.03605511048912351,0.4302264093388464,center
1.0364364779998563,1.0836259856381794,2.135991023686311,0.024540156124338908,0.593820244347623,1.9468017671350557,0.020135087729381235,2.0586722836132494,0.822712066615428,0.550674747911402,point guard
-0.6247095657320259,-1.1835347644558836,-0.9013408061259037,-2.0657868115891986,0.11030248813581832,1.263622627797486,-0.853701399349647,-1.0664469324979449,-0.48838286026174416,-0.7742569763867084,shooting guard
-0.6247095657320259,0.776214358506781,-0.5992857070285565,-0.5404130783928334,-0.6049008595941442,-0.10273565087765714,-0.5378568859475885,-0.480487079477096,0.29827409586455733,-0.05156694495137589,small forward
-0.15009641038005944,0.5072291847668075,2.0017443129763786,0.7589793609966614,-0.4940947071289387,1.9053969708115688,1.336153893571291,2.527440166029929,0.822712066615428,1.1830285254173187,point guard
-0.3874029880560427,-1.529372844978707,-0.23010725257624315,-0.3285556154488938,-0.24226254243528986,0.746062673753869,-1.053736257837617,0.1445367637451428,1.3471500373662986,0.7012351711270955,small forward
1.1788204246054466,0.31509691780968346,1.4983191478141331,0.9567129930776732,0.6542599638740999,0.5804434884599144,1.5151324511657907,1.199264499182671,0.822712066615428,0.40011432469570757,point guard
-0.6721708812672226,-0.7608437771502109,-0.28044976909246766,1.055579809118177,-0.8466597377000471,-0.3097596324951027,-0.6431383904149414,0.33985671475209245,0.5604930812399941,0.09899347826431859,point guard
0.9415138469294633,1.0836259856381794,1.112359854523078,0.2646452807941356,0.3016949333029916,0.02147873809281052,-0.043033814951030445,0.7304966167659918,-0.22616387488631032,-0.5032482145984584,forward
1.1313591090702497,1.1220524390296043,3.646266519173047,0.6036172215044405,0.7348462565760673,3.064731267869266,1.6414702565266142,0.9648805579743316,-0.22616387488631032,-0.17201528352393147,center
-0.43486430359123934,1.1220524390296043,0.3572221067797099,0.30701677338292505,-0.6754138657083657,0.45622909948944673,0.4307329551520571,-0.12891116766458663,0.03605511048912351,0.18932973219373528,forward
2.3178919974501655,0.8914937186810554,0.44112630097341743,-0.10257432164202486,2.19547281179923,-0.16484284536289096,-0.6747228417551471,-0.5976790500812659,-2.061696772514353,-1.2560503306769308,forward
